date,value
01-01-2020,30
01-02-2020,27
01-03-2020,33
01-04-2020,21
01-05-2020,30
01-06-2020,27
01-07-2020,39
01-08-2020,22
01-09-2020,25
01-10-2020,40
01-11-2020,37
01-12-2020,31
01-13-2020,27
01-14-2020,37
01-15-2020,37
01-16-2020,35
01-17-2020,30
01-18-2020,32
01-19-2020,31
01-20-2020,33
01-21-2020,23
01-22-2020,31
01-23-2020,37
01-24-2020,36
01-25-2020,29
01-26-2020,38
01-27-2020,26
01-28-2020,35
01-29-2020,27
01-30-2020,32
01-31-2020,37
02-01-2020,39
02-02-2020,33
02-03-2020,29
02-04-2020,34
02-05-2020,19
02-06-2020,31
02-07-2020,30
02-08-2020,25
02-09-2020,24
02-10-2020,29
02-11-2020,22
02-12-2020,36
02-13-2020,34
02-14-2020,30
02-15-2020,36
02-16-2020,36
02-17-2020,32
02-18-2020,31
02-19-2020,25
02-20-2020,19
02-21-2020,30
02-22-2020,31
02-23-2020,26
02-24-2020,37
02-25-2020,19
02-26-2020,36
02-27-2020,31
02-28-2020,38
02-29-2020,25
03-01-2020,23
03-02-2020,20
03-03-2020,35
03-04-2020,37
03-05-2020,38
03-06-2020,35
03-07-2020,26
03-08-2020,21
03-09-2020,35
03-10-2020,28
03-11-2020,23
03-12-2020,37
03-13-2020,34
03-14-2020,25
03-15-2020,24
03-16-2020,38
03-17-2020,36
03-18-2020,30
03-19-2020,24
03-20-2020,33
03-21-2020,20
03-22-2020,28
03-23-2020,26
03-24-2020,33
03-25-2020,29
03-26-2020,23
03-27-2020,32
03-28-2020,20
03-29-2020,37
03-30-2020,25
03-31-2020,18
04-01-2020,32
04-02-2020,18
04-03-2020,37
04-04-2020,18
04-05-2020,28
04-06-2020,20
04-07-2020,19
04-08-2020,25
04-09-2020,24
04-10-2020,35
04-11-2020,33
04-12-2020,31
04-13-2020,30
04-14-2020,24
04-15-2020,27
04-16-2020,29
04-17-2020,19
04-18-2020,29
04-19-2020,34
04-20-2020,30
04-21-2020,27
04-22-2020,26
04-23-2020,36
04-24-2020,34
04-25-2020,24
04-26-2020,27
04-27-2020,29
04-28-2020,28
04-29-2020,17
04-30-2020,20
05-01-2020,33
05-02-2020,22
05-03-2020,21
05-04-2020,25
05-05-2020,30
05-06-2020,31
05-07-2020,33
05-08-2020,31
05-09-2020,35
05-10-2020,35
05-11-2020,23
05-12-2020,30
05-13-2020,36
05-14-2020,27
05-15-2020,29
05-16-2020,31
05-17-2020,20
05-18-2020,17
05-19-2020,26
05-20-2020,21
05-21-2020,29
05-22-2020,34
05-23-2020,26
05-24-2020,27
05-25-2020,33
05-26-2020,34
05-27-2020,19
05-28-2020,20
05-29-2020,17
05-30-2020,19
05-31-2020,35
06-01-2020,30
06-02-2020,26
06-03-2020,35
06-04-2020,20
06-05-2020,27
06-06-2020,25
06-07-2020,31
06-08-2020,22
06-09-2020,33
06-10-2020,35
06-11-2020,31
06-12-2020,24
06-13-2020,25
